Id,How would you primarily describe your professional role?,How many years of experience do you have in game development?,Which game engine(s) do you primarily work with? (Select all that apply),How would you rate your current experience with the following procedural tools?.Houdini,How would you rate your current experience with the following procedural tools?.Unreal Engine PCG tools,How would you rate your current experience with the following procedural tools?.Blender Geometry Nodes,How would you rate your current experience with the following procedural tools?.Plugins/Tools that use Wave Function Collapse,How would you rate your current experience with the following procedural tools?.Plugins/Tools that use other methods,How would you rate your current experience with the following procedural tools?.Custom code-based PCG solutions,"If you use procedural generation, what aspects do you currently use it for? (Select all that apply)",How frequently do you incorporate procedural level generation (not just world building) in your design workflow?,What are your primary concerns when considering procedural level generation? (Select up to 3),"Which statement best describes your view on procedural level generation tools?",What do you consider the most critical factor when evaluating a new design tool? (Select up to 3),"If using a node-based tool for creating a procedural level generator, which features would be most important to you? (Rank top 3)",How important is real-time feedback when configuring a procedural level generator?,Which approach to creating procedural generators would you prefer?,What level of integration would you prefer for a PCG level generation tool?,"If your project were of the following game genre, how interested would you be in using procedural level generation?.Action/Adventure","If your project were of the following game genre, how interested would you be in using procedural level generation?.First-person Shooters","If your project were of the following game genre, how interested would you be in using procedural level generation?.Platformers","If your project were of the following game genre, how interested would you be in using procedural level generation?.Racing games","If your project were of the following game genre, how interested would you be in using procedural level generation?.Puzzle games","If your project were of the following game genre, how interested would you be in using procedural level generation?.RPGs","If your project were of the following game genre, how interested would you be in using procedural level generation?.Strategy games","If your project were of the following game genre, how interested would you be in using procedural level generation?.Roguelikes / Roguelites","How are levels typically represented and stored in your projects, especially when procedurally generated? (Select all that apply)",Which of these approaches to level generation would be most useful to your workflow? (Select one),What role would you prefer AI to play in your procedural level generation workflow? (Select up to 2),"When considering AI-assisted procedural level design, which is most important to you? (Select up to 2)",What concerns you most about using AI in procedural level generation? (Select up to 2),Which problems do you wish a procedural level generation tool could solve for you?,What is the single most important problem you would want a procedural level generation tool to solve in your workflow?
71,Technical Artist,3-5 years,Unreal Engine;,Extensive Experience,Moderate Experience,No Experience,Moderate Experience,Moderate Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Always (essential part of workflow),Lack of precise artistic control;Integration with existing workflows;Time investment to set up compared to potential benefits;,"""I'm satisfied with the current PCG tools available""","Reliability (predictable, stable results);Integration with existing workflows;Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Support for mission/gameplay integration;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;Visual previews of generation steps;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Somewhat Interested,Interested,Very Interested,Interested,Interested,Interested,Very Interested,Very Interested,Navigation mesh;Rectangular grid/tile-based;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Ability to create more content variations with consistent quality;Better integration with existing workflows;Improved iteration speed on level designs;,Quickly adding variation to similar assets and easily populating a scene.
9,Technical Artist,6-10 years,Unreal Engine;Godot;,Extensive Experience,Limited Experience,No Experience,Limited Experience,Limited Experience,Limited Experience,"World building (terrain, vegetation, etc.);",Always (essential part of workflow),Time investment to set up compared to potential benefits;Integration with existing workflows;,"""Most PCG tools are built for programmers, not designers""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Feature completeness (comprehensive capabilities);,,Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Very Interested,Somewhat Interested,Very Interested,Very Interested,Somewhat Interested,Very Interested,Somewhat Interested,Very Interested,Free-form geometry;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;I have no opinion/not sure;,Learning from my design preferences over time;,Loss of designer agency/control;,Reduced technical barriers to procedural generation;Time savings compared to manual design;Improved iteration speed on level designs;,Enabling creative control on a large scale
12,Technical Artist,10+ years,Unity;,Limited Experience,No Experience,No Experience,No Experience,Moderate Experience,No Experience,"World building (terrain, vegetation, etc.);Placement;",Always (essential part of workflow),"Lack of precise artistic control;Things looking ""varied but the same"". Spending more time making the tool than art-ing the thing.;","""With great power comes great responsibility""","Integration with existing workflows;Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);",,Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Interested,Interested,Very Interested,Very Interested,Very Interested,JSON;,Mission-driven generation (gameplay goals determine level structure),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Sameness;,Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Speed from what I imagine to what's on the screen
24,Programmer/Technical Designer,3-5 years,Rust & Bevy ;,No Experience,No Experience,Moderate Experience,Moderate Experience,Extensive Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Puzzle generation;",Rarely (a few projects),Lack of precise artistic control;,"I like to make my own tools, only way to truly understand what you are doing",Integration with existing workflows;Simplicity (low barrier to entry);Flexibility (ability to adapt to various use cases);,,Essential,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Web-based tool accessible from anywhere,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Node-based graphs (mission/flow graphs);Graph tiles;,Context-dependent (different approaches for different game sections),I have no opinion/not sure;,Maintaining creative control over the final output;,Difficulty integrating with existing tools/workflows;Can't be packaged with the game (as of yet). ;,"Proceduralism is not a tool to solve a problem IMHO. Its its own art form. Its a fun experience to give users control over the generation, and to let them experience the capabilities of your tools. The tools should be accessible in game at runtime;Learning resources and examples for different game genres;Better integration with existing workflows;","I don't think we need more tools, we need more knowledge. I like what BorisTheBrave & Oskar Stalberg do: explaining generation techniques. I think the knowledge should be readily available, but folks should design their own systems aligned with their own projects. "
49,Game Designer,0-2 years,Unreal Engine;,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Never,Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,,Familiarity (resemblance to tools you already know);Documentation and learning resources;Flexibility (ability to adapt to various use cases);,,Somewhat important,,Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Interested,Somewhat Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,,,Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Difficulty integrating with existing tools/workflows;,Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,
51,Programmer/Technical Designer,0-2 years,Custom in-house engine;Unreal Engine;,No Experience,Limited Experience,No Experience,No Experience,Limited Experience,Moderate Experience,I don't currently use procedural generation;,,Lack of precise artistic control;Unpredictable results affecting game balance;Time investment to set up compared to potential benefits;,,,,Very important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,,,,,,,,,,Not sure/would need to experiment,I prefer traditional rule-based PCG without AI involvement;I have no opinion/not sure;,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Time savings compared to manual design;Better integration with existing workflows;,
65,Technical Artist,10+ years,Unreal Engine;Unity;Custom in-house engine;,Moderate Experience,Limited Experience,No Experience,No Experience,Limited Experience,Limited Experience,Level layout/structure generation;Enemy/NPC placement;Mission/quest generation;,Sometimes (about half of projects),Lack of precise artistic control;Technical complexity/steep learning curve;Integration with existing workflows;,"""PCG tools are too complex to integrate into my workflow""",Feature completeness (comprehensive capabilities);Documentation and learning resources;Simplicity (low barrier to entry);,,Somewhat important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Standalone application that exports to game engines,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Very Interested,Navigation mesh;Scene graph/hierarchical structure;,Balanced approach (iterative refinement between mission and space),Assistant-based (AI helps implement your design intentions);,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;","Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Deterministic, Allow for iteration closer to shipping of the project.;",Show processes of how solution made decisions per asset.
72,Programmer/Technical Designer,3-5 years,Custom in-house engine;Unreal Engine;Unity;,No Experience,Limited Experience,No Experience,No Experience,No Experience,Moderate Experience,Enemy/NPC placement;,Rarely (a few projects),Difficulty in debugging unexpected outputs;Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;,"""PCG tools are too complex to integrate into my workflow""",Simplicity (low barrier to entry);Documentation and learning resources;Integration with existing workflows;,"Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Interested,Somewhat Interested,Very Interested,Very Interested,Not Interested,Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Navigation mesh;Scene graph/hierarchical structure;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,Intellectual property/ownership concerns;Loss of designer agency/control;,Time savings compared to manual design;Better integration with existing workflows;Ability to create more content variations with consistent quality;,
73,Game Designer,10+ years,Custom in-house engine;,No Experience,Limited Experience,No Experience,No Experience,Moderate Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Enemy/NPC placement;",Often (most projects),Lack of precise artistic control;Integration with existing workflows;Difficulty in debugging unexpected outputs;,"PCG in house are too custom, PCG in open engines are too loose-form, not goal-oriented enough and finicky.",Simplicity (low barrier to entry);Documentation and learning resources;Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Limited or no programming required;Control over generation constraints and rules;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Runtime vs. offline generation options;Support for mission/gameplay integration;",Not important,"Assembling generators from pre-built, configurable components (balanced approach)","If the pipeline to generate is clean and doesn't require 50clicks of import/exports or in-engine tool tickboxes, doesn't matter.",Very Interested,Somewhat Interested,Interested,Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Scene graph/hierarchical structure;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Intellectual property/ownership concerns;Difficulty integrating with existing tools/workflows;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,"Base its creation on existing level designs fed into it, to create variations or new layouts that speed up workflow whole remaining tonally consistent"
74,Game Designer,3-5 years,Unreal Engine;Godot;,Limited Experience,Limited Experience,No Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Rarely (a few projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""","Familiarity (resemblance to tools you already know);Reliability (predictable, stable results);Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Limited or no programming required;Support for mission/gameplay integration;Visual previews of generation steps;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Navigation mesh;,Context-dependent (different approaches for different game sections),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Speed of generation compared to traditional methods;,Unpredictable or inconsistent results;Intellectual property/ownership concerns;,Time savings compared to manual design;Ability to create more content variations with consistent quality;Learning resources and examples for different game genres;,"Creating a gameplay space I can build of off. A generated piece of level could be used as a sketch for a challenge in a level, this would speed up the process of prototyping challenges in-game."
75,Programmer/Technical Designer,0-2 years,Unreal Engine;Custom in-house engine;Godot;,No Experience,Moderate Experience,No Experience,No Experience,No Experience,Limited Experience,"World building (terrain, vegetation, etc.);",Rarely (a few projects),Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;,"""Most PCG tools are built for programmers, not designers""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Documentation and learning resources;,"Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Easy debugging of unexpected results;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Control over generation constraints and rules;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Not Interested,Somewhat Interested,Not Interested,Somewhat Interested,Not Interested,Interested,Interested,Very Interested,,Mission-driven generation (gameplay goals determine level structure),Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Improved iteration speed on level designs;Learning resources and examples for different game genres;Time savings compared to manual design;,Difficulty for artists to use
76,Game Designer,0-2 years,Godot;Unreal Engine;,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Never,Technical complexity/steep learning curve;Integration with existing workflows;Unclear design methodology for procedural systems;,"while pcg allows for a lot more content to be made, proc levels are often worse designed than hand made",Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Documentation and learning resources;,"Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Visual previews of generation steps;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;Runtime vs. offline generation options;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Not Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Navigation mesh;Scene graph/hierarchical structure;Free-form geometry;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Reduced technical barriers to procedural generation;Learning resources and examples for different game genres;Better integration with existing workflows;,replayable content workload
77,Game Designer,3-5 years,Unreal Engine;Godot;,No Experience,Limited Experience,No Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Rarely (a few projects),Technical complexity/steep learning curve;Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"""Most PCG tools are built for programmers, not designers""",Simplicity (low barrier to entry);Documentation and learning resources;Feature completeness (comprehensive capabilities);,"Control over generation constraints and rules;Easy debugging of unexpected results;Limited or no programming required;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Somewhat Interested,Not Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Very Interested,Very Interested,Free-form geometry;Hexagonal grid/tile-based;Scene graph/hierarchical structure;,Space-driven generation (spatial layout determines gameplay possibilities),Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Learning from my design preferences over time;,"Loss of designer agency/control;Potential ""black box"" nature (lack of transparency);",Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Making engaging levels when I don't consider myself a good level designer
78,Programmer/Technical Designer,3-5 years,Unreal Engine;Godot;,Limited Experience,Moderate Experience,No Experience,Moderate Experience,Moderate Experience,Moderate Experience,Level layout/structure generation;Enemy/NPC placement;,Often (most projects),Integration with existing workflows;Unclear design methodology for procedural systems;Time investment to set up compared to potential benefits;,Too often I need to reinvent the wheel for a new project because the PCG solution slightly differs from the previous project,Flexibility (ability to adapt to various use cases);Documentation and learning resources;Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Support for mission/gameplay integration;Limited or no programming required;Easy debugging of unexpected results;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Interested,Very Interested,Very Interested,Somewhat Interested,Interested,Very Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;Hexagonal grid/tile-based;Node-based graphs (mission/flow graphs);,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Better integration with existing workflows;Learning resources and examples for different game genres;,"Skip the setup steps that I have to do in each project just because the project slightly differs from the previous (in terms of tech used, pipeline or design constraints)"
79,Programmer/Technical Designer,0-2 years,Unreal Engine;Custom in-house engine;,No Experience,Moderate Experience,No Experience,Limited Experience,Moderate Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Rarely (a few projects),Lack of precise artistic control;Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Reliability (predictable, stable results);","Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Very Interested,Interested,Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Very Interested,Free-form geometry;,Not sure/would need to experiment,I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Novelty/uniqueness of the generated content;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Take away the initial risk of dedicating time for setting up a PCG system.
80,Level Designer,0-2 years,Unreal Engine;,No Experience,Moderate Experience,No Experience,No Experience,Limited Experience,No Experience,"Level layout/structure generation;World building (terrain, vegetation, etc.);",Rarely (a few projects),Technical complexity/steep learning curve;Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Feature completeness (comprehensive capabilities);,"Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Somewhat Interested,Not Interested,Somewhat Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Voxel-based;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Monotonous tasks. 
81,Level Designer,3-5 years,Unreal Engine;,Limited Experience,No Experience,No Experience,No Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Technical complexity/steep learning curve;Unclear design methodology for procedural systems;,"""Most PCG tools are built for programmers, not designers""",Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Documentation and learning resources;,"Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Easy debugging of unexpected results;Support for mission/gameplay integration;Runtime vs. offline generation options;",Very important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Interested,Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;,Space-driven generation (spatial layout determines gameplay possibilities),Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Speed of generation compared to traditional methods;,Loss of designer agency/control;Intellectual property/ownership concerns;,Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,More rapid and flexible implementation of art assets
82,Academic/Researcher,10+ years,Unreal Engine;Custom in-house engine;,No Experience,Limited Experience,Limited Experience,No Experience,No Experience,No Experience,Decorative prop placement;,Rarely (a few projects),Unpredictable results affecting game balance;Time investment to set up compared to potential benefits;Lack of connection to desired game flow and pacing (particularly in connection with narrative);,The time saved isn't sufficient to match the effort expended to reach quality.,"Simplicity (low barrier to entry);Reliability (predictable, stable results);Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Support for mission/gameplay integration;Limited or no programming required;Control over generation constraints and rules;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;",Very important,"Using templates with limited parameters to adjust (simpler, less flexible)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Interested,Not Interested,Not Interested,Somewhat Interested,Not Interested,Not Interested,Somewhat Interested,Free-form geometry;Navigation mesh;,Not sure/would need to experiment,Suggestion-based (AI proposes level designs for you to select and modify);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Lack of connection to the intended game-wide player experience (escalating narrative arc, challenge, pacing of memorable set-piece events, etc.);",Time savings compared to manual design;Learning resources and examples for different game genres;Reduced technical barriers to procedural generation;,High quality coverage of the basics (e.g. 'make a hospital ward') with easy customisation for me to build unique assets onto.
83,Programmer/Technical Designer,0-2 years,Unreal Engine;Custom in-house engine;Godot;,No Experience,No Experience,No Experience,No Experience,No Experience,Moderate Experience,Level layout/structure generation;Enemy/NPC placement;,Never,Technical complexity/steep learning curve;Unclear design methodology for procedural systems;,"""PCG tools are too complex to integrate into my workflow""",Documentation and learning resources;Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);,"Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,,Plugin that works across multiple engines,Very Interested,Very Interested,Somewhat Interested,Interested,Interested,Very Interested,Very Interested,Very Interested,,Context-dependent (different approaches for different game sections),I have no opinion/not sure;,,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;Time savings compared to manual design;,
84,Game Designer,3-5 years,Godot;Custom in-house engine;,No Experience,No Experience,No Experience,Moderate Experience,No Experience,Limited Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Rarely (a few projects),Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;Integration with existing workflows;,"""PCG tools are too complex to integrate into my workflow""",Flexibility (ability to adapt to various use cases);Documentation and learning resources;Feature completeness (comprehensive capabilities);,"Easy debugging of unexpected results;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Not Interested,Not Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;,Not sure/would need to experiment,Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Understanding how the AI makes its decisions;Speed of generation compared to traditional methods;,Unpredictable or inconsistent results;Loss of designer agency/control;,Time savings compared to manual design;Improved iteration speed on level designs;Learning resources and examples for different game genres;,
85,Programmer/Technical Designer,0-2 years,Godot;,No Experience,No Experience,No Experience,Moderate Experience,No Experience,Limited Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Enemy/NPC placement;",Sometimes (about half of projects),Technical complexity/steep learning curve;Unpredictable results affecting game balance;Difficulty in debugging unexpected outputs;,"""PCG tools are too complex to integrate into my workflow""",Familiarity (resemblance to tools you already know);Documentation and learning resources;Integration with existing workflows;,"Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Very Interested,Somewhat Interested,Interested,Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Node-based graphs (mission/flow graphs);Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,Unpredictable or inconsistent results;Intellectual property/ownership concerns;,Better integration with existing workflows;Learning resources and examples for different game genres;Ability to create more content variations with consistent quality;,
86,Level Designer,3-5 years,Unreal Engine;Creation Kit;Unity;,No Experience,Limited Experience,Moderate Experience,No Experience,Limited Experience,Limited Experience,"World building (terrain, vegetation, etc.);edge of world padding;",Rarely (a few projects),Lack of precise artistic control;Time investment to set up compared to potential benefits;Technical complexity/steep learning curve;,"""PCG Tools have their benefits but I often find them more time consuming to set-up and use than building something myself""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;Visual previews of generation steps;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Not Interested,Somewhat Interested,Not Interested,Interested,Not Interested,Very Interested,Voxel-based;Free-form geometry;Rectangular grid/tile-based;Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;Maintaining creative control over the final output;,Intellectual property/ownership concerns;Large studios funding and supporting such tools then firing actual level designers in favour of using AI tools because they are cheaper than paying an employee;,Reduced technical barriers to procedural generation;Improved iteration speed on level designs;Ability to create more content variations with consistent quality;,I want a PCG tool to help bridge the gap between the worlds and levels I imagine and my skill in bringing those worlds to life
